personalities,9
audio,6
batteries,2
list,15
friendly,7
connecting,6
professionals,2
frankly,2
reminding,4
etc,15
documentaries,7
hmmm,4
2016,2
familiar,2
park,4
meters,2
sea,3
mounted,2
intro,8
famous,3
shelf,4
sponsorships,2
advice,3
leadville100,2
corner,5
cheaters,2
personally,6
fair,5
correct,3
marker,3
completed,3
pre,4
chip,2
pulled,2
rhythm,3
texas,5
temps,2
treat,2
either,8
role,3
mini,4
aero,5
searching,4
awhile,2
introduced,3
belgian,3
ardennes,3
concept,4
small,8
battle,4
avoid,4
1x,2
gearing,4
supposed,5
blows,3
phinney,29
thru,5
quitting,3
taylor,41
died,11
hitting,4
podiums,2
lycra,3
realize,3
somebody,8
sign,8
paris,16
thoughts,10
dk200,2
cyclingtips,2
lm,2
fatigue,2
hardtail,2
gaimon,2
crashed,3
03,5
43,4
huevos,2
posting,3
sunglasses,2
lachlans,2
beside,2
um,3
fool,3
props,6
nonsense,3
calories,5
useful,4
competing,4
movies,12
scenery,11
laid,2
planet,11
dancing,3
eggs,2
dull,5
interviews,6
bought,11
valuable,2
specially,2
crap,12
journalism,3
fly,14
outlook,2
rude,2
learn,8
stand,6
education,21
teaching,2
port,5
macquarie,2
thanx,4
anthem,3
ruined,3
roadies,3
regular,6
tires,14
low,10
psi,3
saving,3
comfort,4
zone,4
likely,2
savages,2
rip,8
bra,2
killer,5
weather,23
link,11
utah,4
missing,8
compared,5
colorado,8
rules,8
captured,11
suspense,2
docs,3
loads,3
fake,4
earned,4
tire,6
firing,2
crowd,2
tejay,11
47,9
sudden,3
turned,9
easily,2
study,2
material,4
fuckin,3
peaks,6
speech,5
pedals,9
dark,16
whats,12
distant,3
ugh,2
connect,9
variety,2
web,4
mix,3
stepping,3
stone,4
fame,2
truely,2
soo,3
steep,5
someday,5
gang,2
pep,3
rate,3
branding,4
hilarious,5
goofy,2
kill,3
fucked,3
japanese,7
remembering,2
confidence,2
selfish,2
create,8
soundtrack,28
save,8
enduro,3
usa,4
savage,3
showcase,2
schedule,2
grading,2
explore,11
em,17
members,3
colour,5
financially,2
continues,6
commentary,5
26,6
liking,3
trails,5
knock,2
facking,2
4th,2
ace,3
ambassador,9
blink,2
hat,10
sat,4
charm,2
decent,6
general,4
grass,5
mere,2
mortals,2
enthusiasm,6
meant,7
bother,2
kid,7
infectious,4
ocean,2
yorkshire,7
countryside,3
viaduct,2
middle,8
terrain,7
gotten,4
combined,3
mate,18
pictures,7
speak,8
we’re,4
encourages,2
leading,4
ah,6
shine,3
ground,3
fortune,2
allowing,2
grow,3
older,5
starts,7
exposure,3
southwest,3
nick,3
craig,2
welcome,10
announced,2
divide,10
flat,9
talks,6
reading,3
passionate,2
afraid,5
gnarly,4
influencer,2
celebration,2
drink,7
beers,3
click,2
trials,4
racer,7
ne,3
persona,2
legendary,7
💪💪,2
beauty,17
coffee,15
puts,4
spanish,5
doorstep,2
👍🏻,7
signature,2
mainstream,3
buddy,7
entered,2
kerry,2
works,4
master,7
i’ll,3
nobody’s,2
stud,2
carry,8
degrees,2
brown,3
gained,4
subscribe,2
results,8
weekly,2
hahah,2
he’s,6
tons,2
grown,5
waaaay,2
enthusiastic,2
online,5
finely,2
vintage,4
outskirts,17
grey,5
cx,5
throwing,5
supported,8
tests,3
physical,7
ragbrai,2
hang,5
flying,4
27,5
classy,3
finishers,3
documental,2
lacey,3
bloke,5
fewer,2
capture,6
image,6
grace,2
wanting,4
punching,2
speaker,2
nowhere,5
sand,3
forza,2
flats,2
ear,7
rear,5
headlights,3
core,8
tyres,2
mixed,3
gladly,2
hungry,3
amazeballs,2
